iter	Passed	Remaining
408	4909	7094
409	4920	7080
410	4931	7066
411	4942	7053
412	4953	7039
413	4963	7025
414	4974	7012
415	4985	6998
416	4997	6986
417	5008	6973
418	5019	6960
419	5030	6946
420	5041	6933
421	5051	6919
422	5063	6906
423	5074	6893
424	5086	6881
425	5097	6868
426	5108	6855
427	5120	6842
428	5131	6830
429	5143	6817
430	5155	6806
431	5167	6794
432	5180	6783
433	5193	6772
434	5206	6763
435	5220	6753
436	5233	6741
437	5244	6729
438	5257	6719
439	5269	6706
440	5284	6698
441	5301	6692
442	5315	6682
443	5326	6669
444	5337	6656
445	5347	6642
446	5358	6629
447	5369	6616
448	5380	6603
449	5391	6589
450	5402	6576
451	5413	6563
452	5424	6549
453	5434	6536
454	5447	6524
455	5458	6511
456	5470	6500
457	5482	6487
458	5493	6475
459	5507	6465
460	5519	6453
461	5531	6440
462	5542	6428
463	5556	6418
464	5569	6408
465	5581	6396
466	5594	6385
467	5606	6373
468	5618	6361
469	5630	6349
470	5642	6337
471	5659	6331
472	5675	6323
473	5691	6315
474	5704	6304
475	5715	6292
476	5727	6279
477	5739	6267
478	5750	6254
479	5762	6243
480	5774	6231
481	5787	6219
482	5800	6208
483	5811	6196
484	5822	6182
485	5832	6168
486	5843	6155
487	5854	6142
488	5865	6129
489	5877	6116
490	5889	6105
491	5901	6093
492	5913	6081
493	5926	6070
494	5939	6059
495	5951	6047
496	5963	6035
497	5974	6022
498	5985	6009
499	5997	5997
500	6010	5986
501	6021	5973
502	6033	5961
503	6046	5950
504	6062	5942
505	6076	5931
506	6089	5921
507	6100	5908
508	6110	5894
509	6122	5882
510	6133	5869
511	6144	5856
512	6155	5843
513	6166	5830
514	6176	5817
515	6188	5804
516	6198	5791
517	6209	5777
518	6220	5764
519	6230	5751
520	6240	5737
521	6250	5724
522	6262	5711
523	6272	5697
524	6283	5684
525	6293	5671
526	6303	5657
527	6314	5644
528	6324	5631
529	6336	5619
530	6344	5604
531	6356	5591
532	6367	5579
533	6378	5566
534	6390	5554
535	6403	5543
536	6414	5530
537	6426	5518
538	6438	5506
539	6449	5493
540	6461	5481
541	6474	5470
542	6485	5458
543	6497	5446
544	6510	5435
545	6522	5423
546	6537	5413
547	6548	5401
548	6561	5390
549	6574	5379
550	6586	5366
551	6597	5354
552	6607	5341
553	6619	5328
554	6631	5316
555	6642	5304
556	6652	5291
557	6663	5278
558	6673	5264
559	6684	5252
560	6696	5239
561	6707	5227
562	6718	5214
563	6728	5201
564	6740	5189
565	6752	5177
566	6763	5164
567	6774	5152
568	6786	5140
569	6799	5129
570	6828	5130
571	6840	5118
572	6851	5105
573	6863	5093
574	6875	5082
575	6890	5071
576	6903	5060
577	6919	5051
578	6931	5040
579	6943	5027
580	6954	5015
581	6966	5003
582	6977	4990
583	6988	4978
584	6999	4965
585	7011	4953
586	7023	4941
587	7035	4929
588	7047	4917
589	7059	4905
590	7071	4893
591	7084	4882
592	7096	4870
593	7107	4858
594	7120	4847
595	7132	4834
596	7144	4822
597	7156	4810
598	7167	4798
599	7180	4786
600	7192	4775
601	7205	4763
602	7217	4751
603	7231	4741
604	7245	4730
605	7258	4719
606	7272	4708
607	7285	4697
608	7297	4685
609	7309	4673
610	7321	4661
611	7335	4650
612	7347	4638
613	7360	4627
614	7372	4614
615	7384	4603
616	7400	4593
617	7415	4583
618	7429	4573
619	7441	4561
620	7454	4549
621	7465	4537
622	7480	4526
623	7490	4513
624	7503	4502
625	7514	4489
626	7527	4478
627	7541	4467
628	7555	4456
629	7569	4445
630	7581	4433
631	7593	4421
632	7605	4409
633	7620	4399
634	7632	4387
635	7646	4376
636	7660	4365
637	7672	4353
638	7684	4341
639	7696	4329
640	7708	4317
641	7719	4304
642	7731	4292
643	7739	4278
644	7751	4266
645	7763	4254
646	7775	4242
647	7787	4230
648	7799	4218
649	7811	4206
650	7826	4195
651	7838	4183
652	7851	4172
653	7862	4159
654	7873	4147
655	7883	4134
656	7896	4122
657	7908	4110
658	7918	4097
659	7929	4084
660	7940	4072
661	7950	4059
662	7962	4047
663	7970	4033
664	7980	4020
665	7991	4007
666	8002	3995
667	8013	3982
668	8024	3970
669	8035	3957
670	8047	3945
671	8058	3933
672	8071	3921
673	8084	3910
674	8095	3897
675	8107	3885
676	8120	3874
677	8132	3862
678	8144	3850
679	8157	3838
680	8170	3827
681	8182	3815
682	8196	3804
683	8207	3791
684	8218	3779
685	8231	3767
686	8244	3756
687	8259	3745
688	8272	3733
689	8282	3721
690	8293	3708
691	8303	3695
692	8315	3683
693	8325	3670
694	8335	3658
695	8346	3645
696	8357	3633
697	8367	3620
698	8377	3607
699	8388	3595
700	8399	3582
701	8409	3569
702	8420	3557
703	8431	3545
704	8444	3533
705	8455	3521
706	8467	3508
707	8479	3497
708	8491	3485
709	8504	3473
710	8518	3462
711	8531	3450
712	8545	3439
713	8558	3428
714	8571	3416
715	8585	3405
716	8598	3393
717	8607	3380
718	8620	3369
719	8632	3357
720	8644	3345
721	8657	3333
722	8669	3321
723	8681	3309
724	8696	3298
725	8709	3287
726	8723	3275
727	8739	3265
728	8751	3253
729	8763	3241
730	8775	3229
731	8788	3217
732	8800	3205
733	8813	3193
734	8827	3182
